entity_id,state,last_changed
sensor.airsense2_bme680_temperature,11.8,2026-01-04T13:00:00.000Z
sensor.airsense2_bme680_temperature,11.9,2026-01-04T13:05:33.993Z
sensor.airsense2_bme680_temperature,unavailable,2026-01-04T13:07:53.410Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T13:07:54.782Z
sensor.airsense2_bme680_temperature,11.9,2026-01-04T13:09:38.946Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T13:09:58.944Z
sensor.airsense2_bme680_temperature,11.9,2026-01-04T13:12:58.934Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T13:13:08.937Z
sensor.airsense2_bme680_temperature,11.9,2026-01-04T13:13:18.935Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T13:13:28.936Z
sensor.airsense2_bme680_temperature,11.9,2026-01-04T15:31:58.504Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T15:32:08.504Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:10:07.461Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:10:47.454Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:14:07.445Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:15:57.442Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:18:27.434Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:19:37.429Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:24:17.414Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:27:27.408Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:27:37.406Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:29:17.399Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:29:47.397Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:32:27.392Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:32:47.391Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:35:57.382Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:36:07.376Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:37:17.373Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:37:27.372Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:49:37.337Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:50:37.330Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:51:17.329Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:54:37.321Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:55:27.321Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:55:37.320Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:56:17.317Z
sensor.airsense2_bme680_temperature,11.7,2026-01-04T21:57:27.312Z
sensor.airsense2_bme680_temperature,11.8,2026-01-04T21:58:47.307Z
